assay,condition,condition_name,model_interpretation,biological_replicate,analyte,value,unit
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,IFNG_pg_ml,330.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,GranzymeB_pg_ml,105.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,TNFA_pg_ml,95.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,IL2_pg_ml,45.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,LDH_killing_index,1.05,fold_vs_G1_mean
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,Caspase3_7_index,1.05,fold_vs_G1_mean
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,tumor_viability_loss_pct,21.0,%
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,IFNG_pg_ml,650.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,GranzymeB_pg_ml,200.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,TNFA_pg_ml,165.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,IL2_pg_ml,84.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,LDH_killing_index,1.55,fold_vs_G1_mean
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,Caspase3_7_index,1.5,fold_vs_G1_mean
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,tumor_viability_loss_pct,31.0,%
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,IFNG_pg_ml,440.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,GranzymeB_pg_ml,145.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,TNFA_pg_ml,125.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,IL2_pg_ml,60.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,LDH_killing_index,1.28,fold_vs_G1_mean
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,Caspase3_7_index,1.3,fold_vs_G1_mean
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,tumor_viability_loss_pct,25.0,%
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,IFNG_pg_ml,780.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,GranzymeB_pg_ml,260.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,TNFA_pg_ml,205.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,IL2_pg_ml,96.0,pg/mL
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,LDH_killing_index,1.75,fold_vs_G1_mean
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,Caspase3_7_index,1.85,fold_vs_G1_mean
CD8_activation_cytotoxicity,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,tumor_viability_loss_pct,36.0,%
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,IFNG_pg_ml,620.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,GranzymeB_pg_ml,190.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,TNFA_pg_ml,160.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,IL2_pg_ml,82.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,LDH_killing_index,1.55,fold_vs_G1_mean
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,Caspase3_7_index,1.65,fold_vs_G1_mean
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,tumor_viability_loss_pct,32.0,%
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,IFNG_pg_ml,980.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,GranzymeB_pg_ml,310.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,TNFA_pg_ml,245.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,IL2_pg_ml,132.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,LDH_killing_index,2.15,fold_vs_G1_mean
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,Caspase3_7_index,2.25,fold_vs_G1_mean
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,tumor_viability_loss_pct,45.0,%
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,IFNG_pg_ml,760.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,GranzymeB_pg_ml,240.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,TNFA_pg_ml,205.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,IL2_pg_ml,104.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,LDH_killing_index,1.85,fold_vs_G1_mean
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,Caspase3_7_index,1.95,fold_vs_G1_mean
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,tumor_viability_loss_pct,38.0,%
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,IFNG_pg_ml,1120.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,GranzymeB_pg_ml,360.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,TNFA_pg_ml,285.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,IL2_pg_ml,152.0,pg/mL
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,LDH_killing_index,2.35,fold_vs_G1_mean
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,Caspase3_7_index,2.5,fold_vs_G1_mean
CD8_activation_cytotoxicity,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,tumor_viability_loss_pct,50.0,%
