assay,cell_line,condition,condition_name,model_interpretation,biological_replicate,gene,feature_class,housekeeping_gene,housekeeping_Ct,target_Ct,delta_Ct,delta_delta_Ct,relative_expression_2ddct,log2_relative_expression
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,VEGFA,exclusion,GAPDH,18.61,26.466,7.856,0.165,0.892,-0.165
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,CXCL10,responder,GAPDH,18.453,25.384,6.931,-4.801,27.877,4.801
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,CXCL9,responder,GAPDH,18.453,26.638,8.185,-3.761,13.56,3.761
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,CXCL11,responder,GAPDH,18.453,27.743,9.29,-3.019,8.106,3.019
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,HLA-A,responder,GAPDH,18.453,22.715,4.262,-1.96,3.89,1.96
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,B2M,responder,GAPDH,18.453,22.637,4.184,-1.246,2.372,1.246
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,STAT1,responder,GAPDH,18.453,23.774,5.321,-2.462,5.51,2.462
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,IFIT1,responder,GAPDH,18.453,24.971,6.518,-3.123,8.712,3.123
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,CD274,checkpoint,GAPDH,18.453,26.396,7.943,-2.728,6.625,2.728
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,SPP1,exclusion,GAPDH,18.453,27.494,9.041,0.119,0.921,-0.119
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,TGFB1,exclusion,GAPDH,18.453,26.936,8.483,-0.844,1.795,0.844
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,CA9,exclusion,GAPDH,18.453,28.284,9.831,-0.116,1.083,0.115
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,VEGFA,exclusion,GAPDH,18.453,26.013,7.56,-0.131,1.095,0.131
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,CXCL10,responder,GAPDH,18.538,26.528,7.99,-3.742,13.38,3.742
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,CXCL9,responder,GAPDH,18.538,27.31,8.772,-3.174,9.027,3.174
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,CXCL11,responder,GAPDH,18.538,27.368,8.83,-3.479,11.15,3.479
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,HLA-A,responder,GAPDH,18.538,23.672,5.134,-1.088,2.125,1.087
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,B2M,responder,GAPDH,18.538,23.691,5.153,-0.277,1.212,0.277
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,STAT1,responder,GAPDH,18.538,24.426,5.888,-1.895,3.719,1.895
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,IFIT1,responder,GAPDH,18.538,25.84,7.302,-2.339,5.06,2.339
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,CD274,checkpoint,GAPDH,18.538,26.542,8.004,-2.667,6.351,2.667
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,SPP1,exclusion,GAPDH,18.538,27.582,9.044,0.122,0.919,-0.122
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,TGFB1,exclusion,GAPDH,18.538,28.131,9.593,0.266,0.832,-0.265
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,CA9,exclusion,GAPDH,18.538,28.534,9.996,0.05,0.966,-0.05
tumor_qPCR,A549,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,VEGFA,exclusion,GAPDH,18.538,27.127,8.589,0.898,0.537,-0.897
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,CXCL10,responder,GAPDH,18.401,28.646,10.245,-1.487,2.803,1.487
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,CXCL9,responder,GAPDH,18.401,27.339,8.938,-3.008,8.046,3.008
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,CXCL11,responder,GAPDH,18.401,28.402,10.001,-2.308,4.952,2.308
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,HLA-A,responder,GAPDH,18.401,23.615,5.214,-1.008,2.011,1.008
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,B2M,responder,GAPDH,18.401,22.879,4.478,-0.952,1.935,0.952
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,STAT1,responder,GAPDH,18.401,24.464,6.063,-1.72,3.294,1.72
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,IFIT1,responder,GAPDH,18.401,25.829,7.428,-2.213,4.636,2.213
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,CD274,checkpoint,GAPDH,18.401,27.084,8.683,-1.988,3.967,1.988
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,SPP1,exclusion,GAPDH,18.401,27.454,9.053,0.131,0.913,-0.131
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,TGFB1,exclusion,GAPDH,18.401,27.687,9.286,-0.041,1.029,0.041
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,CA9,exclusion,GAPDH,18.401,28.679,10.278,0.332,0.795,-0.331
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,VEGFA,exclusion,GAPDH,18.401,26.163,7.762,0.071,0.952,-0.071
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,CXCL10,responder,GAPDH,18.679,28.149,9.47,-2.262,4.797,2.262
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,CXCL9,responder,GAPDH,18.679,27.187,8.508,-3.438,10.84,3.438
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,CXCL11,responder,GAPDH,18.679,27.443,8.764,-3.545,11.672,3.545
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,HLA-A,responder,GAPDH,18.679,23.372,4.693,-1.529,2.885,1.529
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,B2M,responder,GAPDH,18.679,23.052,4.373,-1.057,2.081,1.057
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,STAT1,responder,GAPDH,18.679,24.732,6.053,-1.73,3.317,1.73
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,IFIT1,responder,GAPDH,18.679,25.958,7.279,-2.362,5.141,2.362
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,CD274,checkpoint,GAPDH,18.679,27.283,8.604,-2.067,4.19,2.067
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,SPP1,exclusion,GAPDH,18.679,27.261,8.582,-0.34,1.266,0.34
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,TGFB1,exclusion,GAPDH,18.679,27.449,8.77,-0.557,1.471,0.557
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,CA9,exclusion,GAPDH,18.679,27.926,9.247,-0.7,1.624,0.7
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,VEGFA,exclusion,GAPDH,18.679,26.724,8.045,0.354,0.783,-0.353
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,CXCL10,responder,GAPDH,18.31,27.263,8.953,-2.779,6.864,2.779
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,CXCL9,responder,GAPDH,18.31,26.717,8.407,-3.539,11.626,3.539
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,CXCL11,responder,GAPDH,18.31,27.229,8.919,-3.39,10.483,3.39
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,HLA-A,responder,GAPDH,18.31,23.116,4.806,-1.416,2.668,1.416
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,B2M,responder,GAPDH,18.31,22.611,4.301,-1.129,2.187,1.129
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,STAT1,responder,GAPDH,18.31,24.457,6.147,-1.636,3.108,1.636
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,IFIT1,responder,GAPDH,18.31,24.836,6.526,-3.115,8.664,3.115
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,CD274,checkpoint,GAPDH,18.31,26.72,8.41,-2.261,4.793,2.261
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,SPP1,exclusion,GAPDH,18.31,26.463,8.153,-0.769,1.704,0.769
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,TGFB1,exclusion,GAPDH,18.31,27.022,8.712,-0.615,1.532,0.615
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,CA9,exclusion,GAPDH,18.31,28.244,9.934,-0.013,1.009,0.013
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,VEGFA,exclusion,GAPDH,18.31,25.23,6.92,-0.771,1.707,0.771
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,CXCL10,responder,GAPDH,18.452,28.993,10.541,-1.191,2.283,1.191
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,CXCL9,responder,GAPDH,18.452,26.022,7.57,-4.376,20.767,4.376
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,CXCL11,responder,GAPDH,18.452,28.044,9.592,-2.717,6.575,2.717
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,HLA-A,responder,GAPDH,18.452,23.441,4.989,-1.233,2.35,1.233
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,B2M,responder,GAPDH,18.452,22.867,4.415,-1.015,2.021,1.015
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,STAT1,responder,GAPDH,18.452,25.105,6.653,-1.13,2.189,1.13
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,IFIT1,responder,GAPDH,18.452,25.299,6.847,-2.794,6.936,2.794
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,CD274,checkpoint,GAPDH,18.452,26.724,8.272,-2.399,5.274,2.399
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,SPP1,exclusion,GAPDH,18.452,27.34,8.888,-0.034,1.024,0.034
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,TGFB1,exclusion,GAPDH,18.452,27.758,9.306,-0.021,1.015,0.021
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,CA9,exclusion,GAPDH,18.452,28.561,10.109,0.162,0.893,-0.163
tumor_qPCR,A549,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,VEGFA,exclusion,GAPDH,18.452,26.603,8.151,0.46,0.727,-0.46
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,CXCL10,responder,GAPDH,18.545,28.306,9.761,-1.971,3.92,1.971
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,CXCL9,responder,GAPDH,18.545,28.465,9.92,-2.026,4.073,2.026
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,CXCL11,responder,GAPDH,18.545,28.863,10.318,-1.991,3.975,1.991
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,HLA-A,responder,GAPDH,18.545,24.288,5.743,-0.479,1.394,0.479
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,B2M,responder,GAPDH,18.545,23.133,4.588,-0.842,1.793,0.842
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,STAT1,responder,GAPDH,18.545,25.662,7.117,-0.666,1.587,0.666
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,IFIT1,responder,GAPDH,18.545,27.385,8.84,-0.801,1.742,0.801
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,CD274,checkpoint,GAPDH,18.545,27.219,8.674,-1.997,3.992,1.997
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,SPP1,exclusion,GAPDH,18.545,25.036,6.491,-2.431,5.393,2.431
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,TGFB1,exclusion,GAPDH,18.545,25.229,6.684,-2.643,6.247,2.643
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,CA9,exclusion,GAPDH,18.545,25.995,7.45,-2.496,5.643,2.496
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,VEGFA,exclusion,GAPDH,18.545,24.702,6.157,-1.534,2.896,1.534
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,CXCL10,responder,GAPDH,18.303,27.433,9.13,-2.602,6.071,2.602
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,CXCL9,responder,GAPDH,18.303,27.46,9.157,-2.789,6.913,2.789
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,CXCL11,responder,GAPDH,18.303,28.661,10.358,-1.951,3.866,1.951
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,HLA-A,responder,GAPDH,18.303,23.797,5.494,-0.728,1.656,0.728
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,B2M,responder,GAPDH,18.303,22.872,4.569,-0.861,1.817,0.862
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,STAT1,responder,GAPDH,18.303,24.443,6.14,-1.643,3.123,1.643
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,IFIT1,responder,GAPDH,18.303,26.102,7.799,-1.842,3.585,1.842
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,CD274,checkpoint,GAPDH,18.303,27.255,8.952,-1.719,3.292,1.719
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,SPP1,exclusion,GAPDH,18.303,24.164,5.861,-3.061,8.346,3.061
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,TGFB1,exclusion,GAPDH,18.303,25.446,7.143,-2.184,4.545,2.184
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,CA9,exclusion,GAPDH,18.303,25.189,6.886,-3.06,8.343,3.061
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,VEGFA,exclusion,GAPDH,18.303,23.812,5.509,-2.182,4.539,2.182
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,CXCL10,responder,GAPDH,18.066,26.61,8.544,-3.188,9.113,3.188
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,CXCL9,responder,GAPDH,18.066,27.507,9.441,-2.505,5.677,2.505
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,CXCL11,responder,GAPDH,18.066,28.634,10.568,-1.741,3.343,1.741
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,HLA-A,responder,GAPDH,18.066,23.371,5.305,-0.917,1.888,0.917
