assay,condition,condition_name,model_interpretation,biological_replicate,analyte,value,unit
CellTiter-Glo,G2,IFN activation,responder-like / scTIME-AI-high,BioRep1,celltiter_glo_pct,94,% of G1 mean
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,CXCL10_bioavailable_pg_ml,2520,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,CXCL9_pg_ml,1400,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,CXCL11_pg_ml,900,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,SPP1_pg_ml,680,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,TGFB1_pg_ml,110,pg/mL
CellTiter-Glo,G2,IFN activation,responder-like / scTIME-AI-high,BioRep2,celltiter_glo_pct,101,% of G1 mean
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,CXCL10_bioavailable_pg_ml,3150,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,CXCL9_pg_ml,1100,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,CXCL11_pg_ml,760,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,SPP1_pg_ml,610,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,TGFB1_pg_ml,96,pg/mL
CellTiter-Glo,G2,IFN activation,responder-like / scTIME-AI-high,BioRep3,celltiter_glo_pct,97,% of G1 mean
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,CXCL10_bioavailable_pg_ml,1180,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,CXCL9_pg_ml,720,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,CXCL11_pg_ml,420,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,SPP1_pg_ml,800,pg/mL
ELISA_or_multiplex,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,TGFB1_pg_ml,120,pg/mL
CellTiter-Glo,G2,IFN activation,responder-like / scTIME-AI-high,BioRep4,celltiter_glo_pct,93,% of G1 mean
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,CXCL10_bioavailable_pg_ml,390,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,CXCL9_pg_ml,980,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,CXCL11_pg_ml,380,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,SPP1_pg_ml,560,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,TGFB1_pg_ml,90,pg/mL
CellTiter-Glo,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep1,celltiter_glo_pct,92,% of G1 mean
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,CXCL10_bioavailable_pg_ml,980,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,CXCL9_pg_ml,1250,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,CXCL11_pg_ml,720,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,SPP1_pg_ml,700,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,TGFB1_pg_ml,115,pg/mL
CellTiter-Glo,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep2,celltiter_glo_pct,98,% of G1 mean
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,CXCL10_bioavailable_pg_ml,620,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,CXCL9_pg_ml,850,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,CXCL11_pg_ml,500,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,SPP1_pg_ml,650,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,TGFB1_pg_ml,105,pg/mL
CellTiter-Glo,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep3,celltiter_glo_pct,95,% of G1 mean
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,CXCL10_bioavailable_pg_ml,1280,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,CXCL9_pg_ml,1450,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,CXCL11_pg_ml,840,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,SPP1_pg_ml,850,pg/mL
ELISA_or_multiplex,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,TGFB1_pg_ml,130,pg/mL
CellTiter-Glo,G3,IFN + CXCL10 blockade,loss of responder axis,BioRep4,celltiter_glo_pct,90,% of G1 mean
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,CXCL10_bioavailable_pg_ml,560,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,CXCL9_pg_ml,360,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,CXCL11_pg_ml,220,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,SPP1_pg_ml,2500,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,TGFB1_pg_ml,440,pg/mL
CellTiter-Glo,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep1,celltiter_glo_pct,86,% of G1 mean
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,CXCL10_bioavailable_pg_ml,1120,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,CXCL9_pg_ml,760,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,CXCL11_pg_ml,540,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,SPP1_pg_ml,3800,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,TGFB1_pg_ml,720,pg/mL
CellTiter-Glo,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep2,celltiter_glo_pct,94,% of G1 mean
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,CXCL10_bioavailable_pg_ml,760,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,CXCL9_pg_ml,520,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,CXCL11_pg_ml,340,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,SPP1_pg_ml,3100,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,TGFB1_pg_ml,600,pg/mL
CellTiter-Glo,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,celltiter_glo_pct,89,% of G1 mean
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,CXCL10_bioavailable_pg_ml,1500,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,CXCL9_pg_ml,930,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,CXCL11_pg_ml,700,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,SPP1_pg_ml,1900,pg/mL
ELISA_or_multiplex,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,TGFB1_pg_ml,360,pg/mL
CellTiter-Glo,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,celltiter_glo_pct,91,% of G1 mean
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,CXCL10_bioavailable_pg_ml,1120,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,CXCL9_pg_ml,700,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,CXCL11_pg_ml,480,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,SPP1_pg_ml,950,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,TGFB1_pg_ml,180,pg/mL
CellTiter-Glo,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,celltiter_glo_pct,88,% of G1 mean
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,CXCL10_bioavailable_pg_ml,1900,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,CXCL9_pg_ml,1050,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,CXCL11_pg_ml,760,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,SPP1_pg_ml,1600,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,TGFB1_pg_ml,320,pg/mL
CellTiter-Glo,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,celltiter_glo_pct,96,% of G1 mean
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,CXCL10_bioavailable_pg_ml,1450,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,CXCL9_pg_ml,850,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,CXCL11_pg_ml,600,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,SPP1_pg_ml,1250,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,TGFB1_pg_ml,240,pg/mL
CellTiter-Glo,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,celltiter_glo_pct,92,% of G1 mean
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,CXCL10_bioavailable_pg_ml,2320,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,CXCL9_pg_ml,1250,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,CXCL11_pg_ml,900,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,SPP1_pg_ml,2200,pg/mL
ELISA_or_multiplex,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,TGFB1_pg_ml,410,pg/mL
CellTiter-Glo,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,celltiter_glo_pct,90,% of G1 mean
